Column1,Column2,Column3
-1.9077561e-07,9.1626134e-07,-1
3.0442607e-07,5.500049e-06,1
-6.2149775e-06,-1.5364887e-05,-1
-2.9542207e-06,1.1510128e-06,-1
5.211972e-06,8.492934e-06,-1
-2.0305277e-05,1.3102544e-07,1
-4.016416e-06,-2.1453016e-06,-1
-1.1345837e-05,-3.849156e-06,1
-2.5102127e-06,1.3921417e-05,-1
-1.8064311e-06,2.3231187e-06,-1
5.4584234e-08,-1.2737073e-06,1
-3.733262e-05,-2.9984221e-05,1
-3.089721e-05,-1.6088976e-05,-1
5.1787647e-06,2.3120578e-05,1
-1.6194652e-05,-8.07445e-06,1
6.6304638e-06,8.790448e-06,-1
6.82642e-06,1.1847587e-05,-1
1.684668e-06,-7.357012e-07,-1
-4.9392984e-06,2.4433248e-06,1
-1.2616656e-05,-9.132724e-06,-1
4.4092885e-06,1.7447775e-05,1
4.482521e-06,1.3421537e-05,-1
-3.916488e-06,-1.809989e-06,1
1.372541e-05,2.1565676e-05,-1
-1.44494115e-05,-3.4545665e-06,-1
