x,y,Label
-8.38E-09,5.11E-09,1
-1.09E-08,1.44E-08,1
-2.51E-09,1.87E-09,-1
2.55E-09,6.36E-09,-1
-1.47E-09,-1.11E-09,1
-6.40E-09,2.08E-08,-1
-1.17E-08,1.37E-08,-1
-3.77E-09,4.34E-08,1
-1.18E-08,4.73E-08,1
4.59E-08,1.26E-07,-1
-8.28E-08,4.65E-08,1
2.34E-05,1.95E-05,-1
-1.29E-05,8.94E-06,1
-3.01E-06,-5.50E-06,-1
-6.83E-06,-4.60E-06,-1
3.10E-05,5.24E-05,-1
-3.73E-05,-2.81E-06,1
-3.15E-06,-1.96E-07,-1
-4.72E-06,-2.96E-06,1
-2.20E-05,1.89E-05,-1
-2.76E-05,1.32E-05,-1
-1.25E-05,-1.13E-05,1
-0.000193388,-0.00012051,1
-4.46E-05,2.80E-05,-1
-4.95E-05,5.85E-05,1
-2.57E-06,4.94E-05,1
2.12E-05,2.84E-05,-1
1.80E-05,1.77E-05,-1
8.58E-06,2.94E-06,-1
-3.13E-06,4.92E-05,1
-2.24E-05,-1.74E-05,-1
2.24E-05,2.07E-05,1
6.06E-06,3.01E-05,-1
-7.09E-06,-1.40E-05,1
6.02E-05,9.63E-05,-1
-5.71E-05,1.47E-05,-1
